filename,Violate MR-1 by 3 colors,Violate MR-1 by 15 colors,Violate MR-2 by 3 colors,Violate MR-2 by 15 colors
ILSVRC2012_val_00000610.JPEG,False,False,False,False
ILSVRC2012_val_00000611.JPEG,False,False,True,True
ILSVRC2012_val_00000613.JPEG,False,False,False,False
ILSVRC2012_val_00000615.JPEG,False,False,False,False
ILSVRC2012_val_00000616.JPEG,False,False,False,False
ILSVRC2012_val_00000617.JPEG,False,False,False,False
ILSVRC2012_val_00000618.JPEG,False,False,False,False
ILSVRC2012_val_00000620.JPEG,False,False,False,False
ILSVRC2012_val_00000622.JPEG,False,False,False,False
ILSVRC2012_val_00000623.JPEG,False,False,False,False
ILSVRC2012_val_00000624.JPEG,False,False,False,False
ILSVRC2012_val_00000625.JPEG,False,False,False,False
ILSVRC2012_val_00000626.JPEG,False,False,False,False
ILSVRC2012_val_00000627.JPEG,False,False,True,True
ILSVRC2012_val_00000628.JPEG,False,False,False,False
ILSVRC2012_val_00000630.JPEG,False,False,False,False
ILSVRC2012_val_00000631.JPEG,False,False,False,False
ILSVRC2012_val_00000633.JPEG,False,False,False,False
ILSVRC2012_val_00000634.JPEG,False,False,False,False
ILSVRC2012_val_00000635.JPEG,False,False,False,False
ILSVRC2012_val_00000636.JPEG,False,False,False,False
ILSVRC2012_val_00000637.JPEG,False,False,False,True
ILSVRC2012_val_00000638.JPEG,False,False,False,False
ILSVRC2012_val_00000639.JPEG,False,False,False,True
ILSVRC2012_val_00000640.JPEG,False,False,False,False
ILSVRC2012_val_00000641.JPEG,False,False,False,False
ILSVRC2012_val_00000643.JPEG,False,False,False,False
ILSVRC2012_val_00000645.JPEG,False,False,False,False
ILSVRC2012_val_00000646.JPEG,False,False,True,True
ILSVRC2012_val_00000648.JPEG,False,False,False,False
ILSVRC2012_val_00000649.JPEG,True,True,False,False
ILSVRC2012_val_00000650.JPEG,False,False,False,False
ILSVRC2012_val_00000653.JPEG,True,True,False,False
ILSVRC2012_val_00000654.JPEG,False,False,False,False
ILSVRC2012_val_00000655.JPEG,False,False,True,False
ILSVRC2012_val_00000656.JPEG,False,False,False,False
ILSVRC2012_val_00000657.JPEG,False,False,False,False
ILSVRC2012_val_00000662.JPEG,False,False,False,False
ILSVRC2012_val_00000663.JPEG,True,True,True,True
ILSVRC2012_val_00000664.JPEG,False,False,False,False
ILSVRC2012_val_00000665.JPEG,False,False,False,False
ILSVRC2012_val_00000668.JPEG,False,False,False,False
